Temperature ,Humidity,Soil moisture,Solar Radiation,Plant Mood
21.01,70.49,153.44,684.62,Thirsty 🥵
30.54,86.67,648.08,568.54,Happy 😊
27.43,63.35,627.6,536.86,Happy 😊
30.81,64.98,423.37,310.89,Happy 😊
28.91,62.61,386.22,110.16,Too Dark 🌑
20.95,89.96,474.79,716.44,Happy 😊
30.6,71.41,252.8,190.13,Stressed 😣
28.9,85.8,196.0,732.0,Thirsty 🥵
31.65,77.28,136.33,495.33,Thirsty 🥵
18.46,75.65,244.14,386.98,Thirsty 🥵
30.01,62.15,143.11,600.87,Thirsty 🥵
26.81,77.8,137.58,302.11,Thirsty 🥵
29.61,76.02,225.37,204.75,Thirsty 🥵
21.46,87.32,549.31,699.68,Happy 😊
24.28,80.19,321.2,555.1,Thirsty 🥵
21.47,69.76,481.39,178.96,Too Dark 🌑
29.03,66.57,282.64,666.92,Thirsty 🥵
29.4,79.8,306.0,622.0,Thirsty 🥵
25.66,73.92,225.98,166.96,Stressed 😣
30.45,61.5,133.61,609.08,Thirsty 🥵
30.05,64.73,627.41,345.02,Happy 😊
27.6,87.8,212.0,203.0,Thirsty 🥵
19.96,71.15,160.64,232.68,Thirsty 🥵
24.53,75.2,499.47,642.32,Happy 😊
27.78,84.78,376.44,124.41,Too Dark 🌑
30.83,79.83,536.24,255.34,Happy 😊
18.64,91.08,405.76,526.7,Happy 😊
25.77,80.57,492.75,538.89,Happy 😊
31.97,89.14,246.26,198.74,Stressed 😣
27.93,73.95,137.77,408.5,Thirsty 🥵
19.58,78.1,345.16,13.55,Stressed 😣
19.64,85.1,347.95,47.06,Stressed 😣
30.47,81.89,239.31,376.34,Thirsty 🥵
28.5,76.8,589.0,43.0,Too Dark 🌑
25.6,72.34,688.95,441.02,Happy 😊
28.89,72.73,290.63,556.05,Thirsty 🥵
23.7,68.75,345.68,684.13,Thirsty 🥵
26.6,61.13,659.07,446.48,Happy 😊
18.34,90.06,608.74,257.74,Happy 😊
23.81,65.45,165.28,69.08,Stressed 😣
24.13,66.28,579.4,674.34,Happy 😊
28.5,81.82,157.56,424.91,Thirsty 🥵
31.18,86.97,688.01,273.85,Happy 😊
23.54,74.29,405.14,578.42,Happy 😊
31.48,70.08,351.43,438.39,Happy 😊
28.04,77.63,172.46,490.52,Thirsty 🥵
29.79,66.83,163.9,149.04,Stressed 😣
31.72,94.15,325.73,219.73,Thirsty 🥵
23.09,68.46,621.86,291.71,Happy 😊
31.51,61.03,343.99,187.2,Stressed 😣
29.5,78.3,303.04,586.26,Thirsty 🥵
21.45,89.84,231.93,441.23,Thirsty 🥵
28.7,77.1,268.0,43.0,Stressed 😣
26.61,83.79,431.56,708.77,Happy 😊
18.59,66.82,643.34,486.44,Happy 😊
24.54,84.73,136.68,472.54,Thirsty 🥵
26.94,92.79,145.78,150.11,Stressed 😣
18.33,61.61,493.91,172.54,Too Dark 🌑
29.91,62.73,215.91,199.6,Stressed 😣
28.6,83.8,232.0,804.0,Thirsty 🥵
27.73,63.61,239.58,736.77,Thirsty 🥵
29.88,70.3,344.86,110.15,Stressed 😣
25.11,86.17,252.18,303.34,Thirsty 🥵
30.77,88.84,502.7,711.81,Happy 😊
23.56,75.74,386.17,624.96,Happy 😊
26.61,89.88,155.35,598.79,Thirsty 🥵
30.0,62.2,232.0,258.0,Thirsty 🥵
30.21,67.31,498.5,448.55,Happy 😊
20.25,88.66,182.66,644.78,Thirsty 🥵
29.62,77.77,120.09,189.92,Stressed 😣
25.2,95.0,228.0,217.0,Thirsty 🥵
24.87,64.93,247.08,96.81,Stressed 😣
26.08,67.15,218.33,634.66,Thirsty 🥵
21.91,87.11,325.14,150.92,Stressed 😣
28.78,65.97,176.49,461.69,Thirsty 🥵
29.88,74.71,345.33,122.56,Stressed 😣
29.87,88.37,617.74,278.73,Happy 😊
30.0,61.7,231.0,258.0,Thirsty 🥵
28.01,75.55,610.27,688.38,Happy 😊
20.76,61.93,551.0,536.86,Happy 😊
30.34,76.63,454.44,91.92,Too Dark 🌑
31.75,88.34,610.46,149.71,Too Dark 🌑
21.6,85.5,516.81,483.25,Happy 😊
25.24,68.2,184.73,137.09,Stressed 😣
27.06,62.14,338.28,112.61,Stressed 😣
24.36,93.45,534.9,357.43,Happy 😊
25.23,86.7,121.11,544.96,Thirsty 🥵
28.46,65.61,559.26,620.09,Happy 😊
20.93,92.35,204.33,194.46,Stressed 😣
19.99,81.36,353.03,573.03,Happy 😊
19.3,81.97,452.03,526.37,Happy 😊
18.21,67.84,149.29,650.34,Thirsty 🥵
27.5,87.5,215.0,642.0,Thirsty 🥵
28.7,78.5,265.0,43.0,Stressed 😣
18.41,79.81,505.99,401.66,Happy 😊
29.46,88.24,593.6,406.45,Happy 😊
31.62,65.97,676.39,198.86,Too Dark 🌑
20.07,61.49,176.61,314.65,Thirsty 🥵
20.07,91.34,256.23,8.42,Stressed 😣
24.64,77.4,401.67,168.78,Too Dark 🌑
25.8,93.7,204.0,195.0,Stressed 😣
31.92,79.89,235.31,100.16,Stressed 😣
21.24,77.53,377.26,310.63,Happy 😊
30.8,73.17,551.77,669.76,Happy 😊
19.38,92.16,422.92,536.07,Happy 😊
27.5,88.4,215.0,642.0,Thirsty 🥵
25.01,92.33,492.31,662.32,Happy 😊
22.75,74.37,513.31,365.56,Happy 😊
28.5,77.6,589.0,43.0,Too Dark 🌑
24.5,84.63,526.61,391.85,Happy 😊
21.71,75.67,565.8,303.31,Happy 😊
25.04,91.62,219.26,254.78,Thirsty 🥵
27.69,71.47,692.31,701.88,Happy 😊
28.5,78.5,268.0,5.0,Stressed 😣
27.81,60.12,455.35,103.71,Too Dark 🌑
30.38,67.92,170.95,551.13,Thirsty 🥵
26.79,79.41,502.43,487.45,Happy 😊
23.28,64.72,215.31,12.25,Stressed 😣
31.45,64.63,151.47,81.46,Stressed 😣
31.81,68.67,135.55,480.15,Thirsty 🥵
20.21,73.68,310.58,160.24,Stressed 😣
30.49,87.44,572.1,233.7,Happy 😊
31.23,67.48,548.69,554.56,Happy 😊
22.56,83.32,183.06,249.84,Thirsty 🥵
19.57,66.45,138.82,630.3,Thirsty 🥵
19.2,75.13,290.15,622.86,Thirsty 🥵
31.42,74.46,463.9,418.46,Happy 😊
30.33,82.27,553.37,696.98,Happy 😊
31.19,73.16,241.32,444.57,Thirsty 🥵
23.81,69.65,691.82,408.9,Happy 😊
20.92,73.54,562.12,577.81,Happy 😊
25.08,60.48,490.8,318.18,Happy 😊
21.27,62.85,471.62,664.34,Happy 😊
23.98,89.99,133.26,385.75,Thirsty 🥵
28.7,82.3,230.0,804.0,Thirsty 🥵
22.7,88.84,421.48,291.91,Happy 😊
24.06,92.22,374.71,498.32,Happy 😊
30.95,85.09,272.73,61.13,Stressed 😣
30.57,73.22,632.36,738.53,Happy 😊
25.4,69.19,555.24,609.08,Happy 😊
18.05,84.06,411.57,663.71,Happy 😊
20.24,64.64,225.78,182.52,Stressed 😣
31.28,63.5,620.17,127.37,Too Dark 🌑
21.72,87.12,659.3,402.83,Happy 😊
27.95,93.71,284.75,397.12,Thirsty 🥵
31.32,84.43,479.1,199.75,Too Dark 🌑
23.81,77.28,333.64,502.35,Thirsty 🥵
26.96,87.81,448.73,191.64,Too Dark 🌑
30.13,91.6,197.61,593.26,Thirsty 🥵
22.22,81.36,645.74,88.16,Too Dark 🌑
29.7,79.1,306.0,622.0,Thirsty 🥵
28.9,85.8,196.0,732.0,Thirsty 🥵
31.71,79.66,649.53,288.81,Happy 😊
28.6,79.0,268.0,43.0,Stressed 😣
29.9,64.0,235.0,258.0,Thirsty 🥵
22.88,79.82,452.17,721.86,Happy 😊
22.18,76.37,637.02,148.4,Too Dark 🌑
25.03,64.45,210.66,450.53,Thirsty 🥵
23.32,63.04,607.98,78.87,Too Dark 🌑
22.26,94.73,380.45,64.61,Too Dark 🌑
23.19,89.37,194.78,594.08,Thirsty 🥵
19.25,65.15,620.89,190.9,Too Dark 🌑
25.08,77.35,395.68,167.63,Too Dark 🌑
23.26,75.11,438.03,300.32,Happy 😊
24.38,79.3,646.42,9.25,Too Dark 🌑
19.81,62.65,129.87,8.45,Stressed 😣
24.61,67.41,331.94,117.36,Stressed 😣
29.41,62.77,386.16,639.98,Happy 😊
29.44,83.0,662.92,415.0,Happy 😊
30.57,79.68,368.54,258.84,Happy 😊
23.84,79.0,390.66,521.62,Happy 😊
23.82,83.3,155.79,526.93,Thirsty 🥵
18.62,89.67,416.21,518.26,Happy 😊
23.03,90.86,682.19,687.72,Happy 😊
31.22,83.09,652.39,507.44,Happy 😊
19.87,92.31,220.33,634.83,Thirsty 🥵
27.75,84.72,330.18,747.05,Thirsty 🥵
30.14,78.99,305.31,485.22,Thirsty 🥵
23.24,75.84,295.4,628.47,Thirsty 🥵
28.48,71.4,278.45,24.59,Stressed 😣
22.74,86.49,374.84,396.83,Happy 😊
19.32,80.49,493.66,343.01,Happy 😊
21.39,85.46,421.29,198.05,Too Dark 🌑
21.23,82.4,550.48,109.97,Too Dark 🌑
24.57,60.73,651.1,731.65,Happy 😊
19.43,77.87,401.34,272.61,Happy 😊
30.43,66.83,403.68,302.99,Happy 😊
28.9,85.8,196.0,732.0,Thirsty 🥵
24.72,68.36,588.22,296.93,Happy 😊
22.08,93.5,453.46,470.46,Happy 😊
28.94,70.79,224.05,322.05,Thirsty 🥵
20.64,91.29,516.4,168.54,Too Dark 🌑
19.04,82.44,366.28,484.62,Happy 😊
18.87,70.27,542.64,107.87,Too Dark 🌑
31.26,67.51,693.89,707.65,Happy 😊
28.6,82.6,230.0,804.0,Thirsty 🥵
30.35,79.97,120.79,82.67,Stressed 😣
31.54,90.14,491.29,413.03,Happy 😊
20.33,76.59,425.29,180.61,Too Dark 🌑
24.67,60.97,691.69,341.28,Happy 😊
25.84,60.88,484.65,708.01,Happy 😊
30.14,78.07,191.26,609.33,Thirsty 🥵
28.57,76.7,418.47,302.28,Happy 😊
25.4,75.2,629.05,94.87,Too Dark 🌑
28.17,73.46,323.82,179.12,Stressed 😣
22.26,63.27,279.71,282.47,Thirsty 🥵
18.82,93.86,153.41,15.12,Stressed 😣
30.42,82.85,581.09,652.04,Happy 😊
25.26,91.09,151.4,73.99,Stressed 😣
24.77,79.71,671.87,239.59,Happy 😊
18.75,67.39,136.09,223.65,Thirsty 🥵
21.61,70.62,624.23,351.26,Happy 😊
31.1,85.0,571.8,189.86,Too Dark 🌑
28.02,60.44,137.15,250.13,Thirsty 🥵
28.9,85.8,196.0,792.0,Thirsty 🥵
31.46,68.75,484.13,720.53,Happy 😊
25.44,86.45,535.28,122.49,Too Dark 🌑
23.14,78.09,541.22,736.86,Happy 😊
27.36,62.98,578.17,491.96,Happy 😊
27.57,65.33,315.6,249.32,Thirsty 🥵
30.94,77.27,404.28,78.24,Too Dark 🌑
28.9,85.8,196.0,792.0,Thirsty 🥵
18.89,65.08,588.23,732.06,Happy 😊
29.53,74.19,682.27,370.38,Happy 😊
18.16,73.73,675.94,626.57,Happy 😊
19.68,63.69,233.89,548.7,Thirsty 🥵
25.9,95.0,297.0,171.0,Stressed 😣
20.25,80.85,274.92,212.87,Thirsty 🥵
29.68,92.16,250.12,220.15,Thirsty 🥵
20.85,69.6,296.7,170.61,Stressed 😣
18.35,77.7,500.95,718.29,Happy 😊
27.94,83.34,468.9,375.82,Happy 😊
20.94,70.36,122.37,626.09,Thirsty 🥵
29.77,87.12,667.22,493.11,Happy 😊
20.1,62.02,547.34,501.76,Happy 😊
24.26,72.2,523.35,496.23,Happy 😊
26.3,73.93,270.55,174.49,Stressed 😣
29.84,81.54,412.48,125.47,Too Dark 🌑
23.59,86.13,296.5,292.33,Thirsty 🥵
31.66,88.03,659.24,605.3,Happy 😊
19.97,73.16,571.18,172.83,Too Dark 🌑
23.84,88.81,332.61,638.08,Thirsty 🥵
31.46,76.47,496.84,265.96,Happy 😊
19.85,64.27,270.37,480.01,Thirsty 🥵
30.27,84.18,641.64,299.41,Happy 😊
18.91,92.71,300.8,332.74,Thirsty 🥵
23.37,64.37,412.72,271.1,Happy 😊
22.71,65.09,574.18,30.12,Too Dark 🌑
31.28,86.68,199.58,376.76,Thirsty 🥵
18.8,91.22,607.71,679.8,Happy 😊
31.15,76.18,134.96,316.91,Thirsty 🥵
29.0,86.9,203.0,203.0,Thirsty 🥵
31.2,93.6,567.0,622.0,Happy 😊
19.11,87.09,237.56,375.93,Thirsty 🥵
21.42,70.78,540.68,710.52,Happy 😊
22.02,81.43,605.35,749.3,Happy 😊
24.47,64.7,412.91,30.51,Too Dark 🌑
20.5,87.07,197.27,172.73,Stressed 😣
28.32,64.4,202.93,732.19,Thirsty 🥵
24.89,63.29,505.07,424.61,Happy 😊
29.8,93.69,156.55,323.98,Thirsty 🥵
22.9,62.23,288.33,605.86,Thirsty 🥵
25.03,84.91,302.09,355.85,Thirsty 🥵
18.19,92.01,434.66,157.31,Too Dark 🌑
30.72,94.02,609.73,535.22,Happy 😊
27.02,83.75,529.62,683.51,Happy 😊
25.11,88.93,642.79,414.57,Happy 😊
27.97,69.37,293.3,152.33,Stressed 😣
23.21,69.7,420.19,731.67,Happy 😊
23.12,80.87,369.72,369.7,Happy 😊
25.31,88.11,401.29,641.92,Happy 😊
22.19,81.1,580.97,437.86,Happy 😊
18.8,71.98,351.63,692.08,Happy 😊
23.61,61.37,406.5,179.02,Too Dark 🌑
18.81,89.12,612.4,681.91,Happy 😊
23.07,72.82,338.43,65.75,Stressed 😣
28.34,64.39,126.94,349.06,Thirsty 🥵
20.28,80.93,641.37,713.53,Happy 😊
25.97,71.62,240.46,157.81,Stressed 😣
18.37,80.03,174.8,116.03,Stressed 😣
27.38,80.3,234.86,598.32,Thirsty 🥵
25.63,65.63,381.92,516.62,Happy 😊
28.79,71.48,333.26,311.21,Thirsty 🥵
21.13,81.61,634.17,303.23,Happy 😊
25.23,79.47,180.37,75.97,Stressed 😣
22.48,94.85,554.07,513.11,Happy 😊
20.07,83.12,409.54,638.87,Happy 😊
19.52,71.79,536.92,113.64,Too Dark 🌑
18.49,81.26,396.52,506.11,Happy 😊
22.43,77.62,399.46,117.11,Too Dark 🌑
18.96,82.25,613.06,49.44,Too Dark 🌑
27.98,86.78,462.76,569.22,Happy 😊
31.76,62.31,257.04,712.94,Thirsty 🥵
29.89,82.19,629.62,418.61,Happy 😊
18.46,80.15,152.65,275.07,Thirsty 🥵
20.53,94.38,129.79,53.51,Stressed 😣
30.0,77.6,307.0,622.0,Thirsty 🥵
25.64,76.69,518.75,294.1,Happy 😊
22.15,81.83,453.57,467.86,Happy 😊
26.53,62.48,491.03,649.86,Happy 😊
22.25,91.88,177.49,730.72,Thirsty 🥵
28.7,78.5,268.0,43.0,Stressed 😣
25.26,77.27,184.32,723.69,Thirsty 🥵
20.22,66.23,260.43,270.81,Thirsty 🥵
28.7,79.6,265.0,43.0,Stressed 😣
31.33,76.93,134.35,618.5,Thirsty 🥵
27.5,84.6,214.0,642.0,Thirsty 🥵
28.16,77.13,252.05,510.33,Thirsty 🥵
29.3,92.75,167.44,154.87,Stressed 😣
18.0,66.2,587.25,12.09,Too Dark 🌑
30.99,86.91,634.85,559.58,Happy 😊
19.01,74.72,513.61,165.07,Too Dark 🌑
28.83,89.21,250.42,675.17,Thirsty 🥵
24.46,76.46,346.24,128.28,Stressed 😣
28.06,68.38,237.59,649.32,Thirsty 🥵
21.68,87.69,626.06,555.34,Happy 😊
25.26,81.81,666.86,389.83,Happy 😊
23.61,60.55,586.32,645.31,Happy 😊
30.43,83.38,692.98,680.47,Happy 😊
27.87,66.88,247.41,271.62,Thirsty 🥵
29.45,79.67,401.72,29.76,Too Dark 🌑
30.5,71.51,598.65,208.39,Happy 😊
26.21,62.08,385.96,79.91,Too Dark 🌑
24.28,78.5,644.97,360.18,Happy 😊
31.33,72.17,616.29,474.64,Happy 😊
24.92,84.95,234.19,497.74,Thirsty 🥵
22.45,72.13,398.5,525.46,Happy 😊
22.52,74.7,330.42,536.23,Thirsty 🥵
18.51,85.78,123.65,72.01,Stressed 😣
24.6,91.73,130.54,647.2,Thirsty 🥵
31.71,73.64,338.01,401.52,Thirsty 🥵
23.72,64.95,347.79,709.62,Thirsty 🥵
22.94,87.44,523.52,432.4,Happy 😊
22.67,80.25,636.92,746.85,Happy 😊
18.24,83.32,477.29,332.29,Happy 😊
18.76,60.81,653.73,406.28,Happy 😊
21.44,86.13,212.66,560.81,Thirsty 🥵
27.34,66.93,254.55,28.56,Stressed 😣
23.5,78.41,391.81,185.89,Too Dark 🌑
21.33,83.06,508.76,356.65,Happy 😊
30.08,84.45,634.85,514.12,Happy 😊
26.63,74.23,485.38,398.58,Happy 😊
21.28,79.57,699.83,217.21,Happy 😊
22.15,72.9,144.75,156.49,Stressed 😣
22.83,65.95,668.21,494.84,Happy 😊
29.5,79.7,307.0,622.0,Thirsty 🥵
20.35,89.84,120.49,709.07,Thirsty 🥵
31.13,80.39,608.8,575.81,Happy 😊
29.2,74.53,689.54,511.43,Happy 😊
27.4,77.47,415.33,330.65,Happy 😊
28.9,85.8,196.0,732.0,Thirsty 🥵
26.88,74.58,441.43,369.19,Happy 😊
25.59,90.56,366.32,509.08,Happy 😊
20.77,82.22,396.47,591.81,Happy 😊
21.89,73.98,266.07,89.47,Stressed 😣
28.29,68.0,156.7,22.48,Stressed 😣
21.85,87.56,270.3,94.79,Stressed 😣
31.97,78.93,439.53,238.95,Happy 😊
20.47,76.63,285.32,615.4,Thirsty 🥵
29.82,61.86,573.91,714.77,Happy 😊
31.53,93.64,253.57,638.79,Thirsty 🥵
23.85,61.68,497.53,467.39,Happy 😊
31.97,62.25,346.32,339.82,Thirsty 🥵
27.85,93.42,136.96,440.41,Thirsty 🥵
24.61,79.59,120.42,452.51,Thirsty 🥵
25.49,85.31,235.31,199.41,Stressed 😣
24.83,88.98,504.96,700.7,Happy 😊
25.77,66.86,547.74,182.83,Too Dark 🌑
29.39,64.03,698.67,176.86,Too Dark 🌑
30.26,65.68,615.37,279.98,Happy 😊
19.95,85.13,346.23,479.25,Thirsty 🥵
23.32,81.35,607.3,658.7,Happy 😊
28.9,85.8,196.0,732.0,Thirsty 🥵
24.56,71.46,347.63,145.14,Stressed 😣
31.93,68.24,138.84,134.52,Stressed 😣
18.14,88.57,145.91,553.85,Thirsty 🥵
18.82,78.86,601.23,676.12,Happy 😊
18.6,82.87,691.33,486.47,Happy 😊
29.11,90.01,400.66,350.93,Happy 😊
19.32,78.82,263.02,61.55,Stressed 😣
27.34,85.26,675.31,572.42,Happy 😊
20.62,63.92,492.61,414.82,Happy 😊
18.29,71.73,639.03,105.92,Too Dark 🌑
31.76,87.21,183.03,475.86,Thirsty 🥵
28.4,77.9,266.0,5.0,Stressed 😣
19.83,81.75,202.25,668.82,Thirsty 🥵
22.75,86.14,589.1,78.8,Too Dark 🌑
28.01,65.72,601.12,204.19,Happy 😊
24.49,94.0,606.77,198.98,Too Dark 🌑
18.22,70.55,427.52,215.72,Happy 😊
18.04,72.73,283.39,594.14,Thirsty 🥵
24.39,74.4,396.19,83.46,Too Dark 🌑
25.51,87.62,120.33,708.91,Thirsty 🥵
26.35,60.86,682.61,472.49,Happy 😊
19.59,81.74,171.76,212.56,Thirsty 🥵
24.63,83.77,531.75,470.93,Happy 😊
19.43,88.65,409.18,554.48,Happy 😊
18.84,69.19,533.69,298.73,Happy 😊
21.44,79.65,482.73,524.03,Happy 😊
26.0,89.82,394.52,179.46,Too Dark 🌑
21.61,75.69,657.51,676.43,Happy 😊
26.08,85.74,451.52,657.96,Happy 😊
26.64,90.84,384.75,115.73,Too Dark 🌑
28.91,66.93,270.58,543.52,Thirsty 🥵
26.51,71.33,388.59,346.93,Happy 😊
